Plate Reference, East(X), North (Y), Height (Z), Support Name, Room, Level, Support Type, Dtata Sheet, Page, Fire Rated, Designer
/1HFB19SV0035/1, 534719.30, 182525.40, 13503.00, /1HFB19SV0035, /1HFB1901ZL-, 19, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, S. Pinnock
/1HFB19SV0035/2, 535161.74, 182530.40, 13503.00, /1HFB19SV0035, /1HFB1901ZL-, 19, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, S. Pinnock
/1HFB19SV0034/1, 537097.00, 182400.00, 13840.00, /1HFB19SV0034, /1HFB1901ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0034/2, 537097.00, 182000.00, 13850.00, /1HFB19SV0034, /1HFB1901ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0033/1, 537800.00, 181400.00, 13840.00, /1HFB19SV0033, /1HFB1901ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0033/2, 537400.00, 181400.00, 13850.00, /1HFB19SV0033, /1HFB1901ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0030/1, 537300.00, 178711.00, 13840.00, /1HFB19SV0030, /1HFB1901ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0030/2, 537900.00, 178711.00, 13850.00, /1HFB19SV0030, /1HFB1901ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0075/1, 537850.00, 178210.00, 13350.00, /1HFB19SV0075, /1HFB1901ZL-, 19, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, S. Pinnock
/1HFB19SV0075/2, 537350.00, 178210.00, 13350.00, /1HFB19SV0075, /1HFB1901ZL-, 19, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, S. Pinnock
/1HFB19SV0029/1, 537900.00, 177400.00, 13140.00, /1HFB19SV0029, /1HFB1903ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0029/2, 537300.00, 177400.00, 13150.00, /1HFB19SV0029, /1HFB1903ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0032/1, 537750.00, 174950.00, 13140.00, /1HFB19SV0032, /1HFB1903ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
/1HFB19SV0032/2, 537350.00, 174950.00, 13150.00, /1HFB19SV0032, /1HFB1903ZL-, 19, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, S. Pinnock
